Resource Type,Metric,Metric Display Name,Unit,Aggregation Type,Description,Enable for monitoring,Alert Type,Tag Name,Threshold,Threshold Sensitivity,Operator,Eval Frequency,Window Size,Failing Periods,Evaluation Periods,Aggregation Time,Alert Name,Alert Description,Severity
Microsoft.AAD/DomainServices,\DirectoryServices(NTDS)\LDAP Searches/sec,NTDS - LDAP Searches/sec,CountPerSecond,Average,This metric indicates the average number of searches per second for the NTDS object. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\DirectoryServices(NTDS)\LDAP Successful Binds/sec,NTDS - LDAP Successful Binds/sec,CountPerSecond,Average,This metric indicates the number of LDAP successful binds per second for the NTDS object. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\DNS\Total Query Received/sec,DNS - Total Query Received/sec,CountPerSecond,Average,This metric indicates the average number of queries received by DNS server in each second. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\DNS\Total Response Sent/sec,Total Response Sent/sec,CountPerSecond,Average,This metric indicates the average number of reponses sent by DNS server in each second. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\Memory\% Committed Bytes In Use,% Committed Bytes In Use,Percent,Average,This metric indicates the ratio of Memory\Committed Bytes to the Memory\Commit Limit. Committed memory is the physical memory in use for which space has been reserved in the paging file should it need to be written to disk. The commit limit is determined by the size of the paging file. If the paging file is enlarged the commit limit increases and the ratio is reduced. This counter displays the current percentage value only; it is not an average. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\Process(dns)\% Processor Time,% Processor Time (dns),Percent,Average,This metric indicates the percentage of elapsed time that all of dns process threads used the processor to execute instructions. An instruction is the basic unit of execution in a computer a thread is the object that executes instructions and a process is the object created when a program is run. Code executed to handle some hardware interrupts and trap conditions are included in this count. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\Process(lsass)\% Processor Time,% Processor Time (lsass),Percent,Average,This metric indicates the percentage of elapsed time that all of lsass process threads used the processor to execute instructions. An instruction is the basic unit of execution in a computer a thread is the object that executes instructions and a process is the object created when a program is run. Code executed to handle some hardware interrupts and trap conditions are included in this count. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\Processor(_Total)\% Processor Time,Total Processor Time,Percent,Average,This metric indicates the percentage of elapsed time that the processor spends to execute a non-Idle thread. It is calculated by measuring the percentage of time that the processor spends executing the idle thread and then subtracting that value from 100%. (Each processor has an idle thread that consumes cycles when no other threads are ready to run). This counter is the primary indicator of processor activity and displays the average percentage of busy time observed during the sample interval. It should be noted that the accounting calculation of whether the processor is idle is performed at an internal sampling interval of the system clock (10ms). On todays fast processors % Processor Time can therefore underestimate the processor utilization as the processor may be spending a lot of time servicing threads between the system clock sampling interval. Workload based timer applications are one example of applications which are more likely to be measured inaccurately as timers are signaled just after the sample is taken. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\Security System-Wide Statistics\Kerberos Authentications,Kerberos Authentications,CountPerSecond,Average,This metric indicates the number of times that clients use a ticket to authenticate to this computer per second. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AAD/DomainServices,\Security System-Wide Statistics\NTLM Authentications,NTLM Authentications,CountPerSecond,Average,This metric indicates the number of NTLM authentications processed per second for the Active Directory on this domain contrller or for local accounts on this member server. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,CleanerCurrentPrice,Memory: Cleaner Current Price,Count,Average,Current price of memory $/byte/time normalized to 1000.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,CleanerMemoryNonshrinkable,Memory: Cleaner Memory nonshrinkable,Bytes,Average,Amount of memory in bytes not subject to purging by the background cleaner.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,CleanerMemoryShrinkable,Memory: Cleaner Memory shrinkable,Bytes,Average,Amount of memory in bytes subject to purging by the background cleaner.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,CommandPoolBusyThreads,Threads: Command pool busy threads,Count,Average,Number of busy threads in the command thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,CommandPoolIdleThreads,Threads: Command pool idle threads,Count,Average,Number of idle threads in the command thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,CommandPoolJobQueueLength,Command Pool Job Queue Length,Count,Average,Number of jobs in the queue of the command thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,CurrentConnections,Connection: Current connections,Count,Average,Current number of client connections established.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,CurrentUserSessions,Current User Sessions,Count,Average,Current number of user sessions established.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,LongParsingBusyThreads,Threads: Long parsing busy threads,Count,Average,Number of busy threads in the long parsing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,LongParsingIdleThreads,Threads: Long parsing idle threads,Count,Average,Number of idle threads in the long parsing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,LongParsingJobQueueLength,Threads: Long parsing job queue length,Count,Average,Number of jobs in the queue of the long parsing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,mashup_engine_memory_metric,M Engine Memory,Bytes,Average,Memory usage by mashup engine processes,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,mashup_engine_private_bytes_metric,M Engine Private Bytes,Bytes,Average,Private bytes usage by mashup engine processes.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,mashup_engine_qpu_metric,M Engine QPU,Count,Average,QPU usage by mashup engine processes,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,mashup_engine_virtual_bytes_metric,M Engine Virtual Bytes,Bytes,Average,Virtual bytes usage by mashup engine processes.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,memory_metric,Memory,Bytes,Average,Memory. Range 0-25 GB for S1 0-50 GB for S2 and 0-100 GB for S4,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,memory_thrashing_metric,Memory Thrashing,Percent,Average,Average memory thrashing.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,MemoryLimitHard,Memory: Memory Limit Hard,Bytes,Average,Hard memory limit from configuration file.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,MemoryLimitHigh,Memory: Memory Limit High,Bytes,Average,High memory limit from configuration file.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,MemoryLimitLow,Memory: Memory Limit Low,Bytes,Average,Low memory limit from configuration file.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,MemoryLimitVertiPaq,Memory: Memory Limit VertiPaq,Bytes,Average,In-memory limit from configuration file.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,MemoryUsage,Memory: Memory Usage,Bytes,Average,Memory usage of the server process as used in calculating cleaner memory price. Equal to counter Process\PrivateBytes plus the size of memory-mapped data ignoring any memory which was mapped or allocated by the xVelocity in-memory analytics engine (VertiPaq) in excess of the xVelocity engine Memory Limit.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,private_bytes_metric,Private Bytes,Bytes,Average,Private bytes.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ProcessingPoolBusyIOJobThreads,Threads: Processing pool busy I/O job threads,Count,Average,Number of threads running I/O jobs in the processing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ProcessingPoolBusyNonIOThreads,Threads: Processing pool busy non-I/O threads,Count,Average,Number of threads running non-I/O jobs in the processing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ProcessingPoolIdleIOJobThreads,Threads: Processing pool idle I/O job threads,Count,Average,Number of idle threads for I/O jobs in the processing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ProcessingPoolIdleNonIOThreads,Threads: Processing pool idle non-I/O threads,Count,Average,Number of idle threads in the processing thread pool dedicated to non-I/O jobs.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ProcessingPoolIOJobQueueLength,Threads: Processing pool I/O job queue length,Count,Average,Number of I/O jobs in the queue of the processing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ProcessingPoolJobQueueLength,Processing Pool Job Queue Length,Count,Average,Number of non-I/O jobs in the queue of the processing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,qpu_metric,QPU,Count,Average,QPU. Range 0-100 for S1 0-200 for S2 and 0-400 for S4,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,QueryPoolBusyThreads,Query Pool Busy Threads,Count,Average,Number of busy threads in the query thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,QueryPoolIdleThreads,Threads: Query pool idle threads,Count,Average,Number of idle threads for I/O jobs in the processing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,QueryPoolJobQueueLength,Threads: Query pool job queue lengt,Count,Average,Number of jobs in the queue of the query thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,Quota,Memory: Quota,Bytes,Average,Current memory quota in bytes. Memory quota is also known as a memory grant or memory reservation.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,QuotaBlocked,Memory: Quota Blocked,Count,Average,Current number of quota requests that are blocked until other memory quotas are freed.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,RowsConvertedPerSec,Processing: Rows converted per sec,CountPerSecond,Average,Rate of rows converted during processing.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,RowsReadPerSec,Processing: Rows read per sec,CountPerSecond,Average,Rate of rows read from all relational databases.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,RowsWrittenPerSec,Processing: Rows written per sec,CountPerSecond,Average,Rate of rows written during processing.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ShortParsingBusyThreads,Threads: Short parsing busy threads,Count,Average,Number of busy threads in the short parsing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ShortParsingIdleThreads,Threads: Short parsing idle threads,Count,Average,Number of idle threads in the short parsing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,ShortParsingJobQueueLength,Threads: Short parsing job queue length,Count,Average,Number of jobs in the queue of the short parsing thread pool.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,SuccessfullConnectionsPerSec,Successful Connections Per Sec,CountPerSecond,Average,Rate of successful connection completions.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,TotalConnectionFailures,Total Connection Failures,Count,Average,Total failed connection attempts.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,TotalConnectionRequests,Total Connection Requests,Count,Average,Total connection requests. These are arrivals.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,VertiPaqNonpaged,Memory: VertiPaq Nonpaged,Bytes,Average,Bytes of memory locked in the working set for use by the in-memory engine.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,VertiPaqPaged,Memory: VertiPaq Paged,Bytes,Average,Bytes of paged memory in use for in-memory data.,,,,,,,,,,,,,,
Microsoft.AnalysisServices/servers,virtual_bytes_metric,Virtual Bytes,Bytes,Average,Virtual bytes.,,,,,,,,,,,,,,
Microsoft.ApiManagement/gateways,CpuPercent_Gateway,CPU Utilization (%),Percent,"Average, Maximum",Total processor usage across all cores of the API gateway.,,,,,,,,,,,,,,
Microsoft.ApiManagement/gateways,MemoryPercent_Gateway,Memory Utilization (%),Percent,"Average, Maximum",Percentage of physical memory in use by active processes within the API gateway.,,,,,,,,,,,,,,
Microsoft.ApiManagement/service,Capacity,Capacity,Percent,"Average, Maximum",Utilization metric for ApiManagement service. Note: For skus other than Premium 'Max' aggregation will show the value as 0.,,,,,,,,,,,,,,
Microsoft.ApiManagement/service,CpuPercent_Gateway,CPU Percentage of Gateway,Percent,"Average, Maximum",CPU Percentage of Gateway for SKUv2 services,,,,,,,,,,,,,,
Microsoft.ApiManagement/service,MemoryPercent_Gateway,Memory Percentage of Gateway,Percent,"Average, Maximum",Memory Percentage of Gateway for SKUv2 services,,,,,,,,,,,,,,
Microsoft.App/containerapps,CoresQuotaUsed,Reserved Cores,Count,"Maximum, Minimum",Number of reserved cores for container app revisions,,,,,,,,,,,,,,
Microsoft.App/containerapps,CpuPercentage,CPU Usage Percentage (Preview),Percent,"Total (Sum), Average, Maximum, Minimum",Percentage of CPU limit used in percentage points,,,,,,,,,,,,,,
Microsoft.App/containerapps,MemoryPercentage,Memory Percentage (Preview),Percent,"Total (Sum), Average, Maximum, Minimum",Percentage of memory limit used in percentage points,,,,,,,,,,,,,,
Microsoft.App/containerapps,Replicas,Replica Count,Count,"Average, Total (Sum), Maximum, Minimum",Number of replicas count of container app,,,,,,,,,,,,,,
Microsoft.App/containerapps,Requests,Requests,Count,"Average, Total (Sum), Maximum, Minimum",Requests processed,,,,,,,,,,,,,,
Microsoft.App/containerapps,ResiliencyConnectTimeouts,Resiliency Connection Timeouts,Count,"Total (Sum), Average, Maximum, Minimum",Total connection timeouts,,,,,,,,,,,,,,
Microsoft.App/containerapps,ResiliencyEjectedHosts,Resiliency Ejected Hosts,Count,"Total (Sum), Average, Maximum, Minimum",Number of currently ejected hosts,,,,,,,,,,,,,,
Microsoft.App/containerapps,ResiliencyEjectionsAborted,Resiliency Ejections Aborted,Count,"Total (Sum), Average, Maximum, Minimum",Number of ejections aborted due to the max ejection %,,,,,,,,,,,,,,
Microsoft.App/containerapps,ResiliencyRequestRetries,Resiliency Request Retries,Count,"Total (Sum), Average, Maximum, Minimum",Total request retries,,,,,,,,,,,,,,
Microsoft.App/containerapps,ResiliencyRequestsPendingConnectionPool,Resiliency Requests Pending Connection Pool,Count,"Total (Sum), Average, Maximum, Minimum",Total requests pending a connection pool connection,,,,,,,,,,,,,,
Microsoft.App/containerapps,ResiliencyRequestTimeouts,Resiliency Request Timeouts,Count,"Total (Sum), Average, Maximum, Minimum",Total request that timed out waiting for a response,,,,,,,,,,,,,,
Microsoft.App/containerapps,ResponseTime,Average Response Time (Preview),Milliseconds,"Average, Total (Sum), Maximum, Minimum",Average Response Time per Status Code,,,,,,,,,,,,,,
Microsoft.App/containerapps,RestartCount,Total Replica Restart Count,Count,"Average, Total (Sum), Maximum, Minimum",The cumulative number of times the replica has restarted since it was created.,,,,,,,,,,,,,,
Microsoft.App/containerapps,RxBytes,Network In Bytes,Bytes,"Average, Total (Sum), Maximum, Minimum",Network received bytes,,,,,,,,,,,,,,
Microsoft.App/containerapps,TotalCoresQuotaUsed,Total Reserved Cores,Count,"Average, Maximum, Minimum",Number of total reserved cores for the container app,,,,,,,,,,,,,,
Microsoft.App/containerapps,TxBytes,Network Out Bytes,Bytes,"Average, Total (Sum), Maximum, Minimum",Network transmitted bytes,,,,,,,,,,,,,,
Microsoft.App/containerapps,UsageNanoCores,CPU Usage,NanoCores,"Total (Sum), Average, Maximum, Minimum",CPU consumed by the container app in nano cores. 1000000000 nano cores = 1 core,,,,,,,,,,,,,,
Microsoft.App/containerapps,WorkingSetBytes,Memory Working Set Bytes,Bytes,"Total (Sum), Average, Maximum, Minimum",Container App working set memory used in bytes.,,,,,,,,,,,,,,
Microsoft.App/jobs,Executions,Job Executions,Count,"Average, Total (Sum), Maximum, Minimum",Executions run by the Container Apps Job,,,,,,,,,,,,,,
Microsoft.App/jobs,RequestedBytes,Requested Bytes,Bytes,"Total (Sum), Average, Maximum, Minimum",Container App Job memory requests of customer containers in bytes.,,,,,,,,,,,,,,
Microsoft.App/jobs,RequestedCores,Requested Cores,Cores,"Total (Sum), Average, Maximum, Minimum",Container App Job requested cpu in cores.,,,,,,,,,,,,,,
Microsoft.App/jobs,RestartCount,Total Job Execution Restart Count,Count,"Average, Total (Sum), Maximum, Minimum",The cumulative number of times container app job execution has restarted since it was created.,,,,,,,,,,,,,,
Microsoft.App/jobs,RxBytes,Network In Bytes,Bytes,"Average, Total (Sum), Maximum, Minimum",Network received bytes,,,,,,,,,,,,,,
Microsoft.App/jobs,TxBytes,Network Out Bytes,Bytes,"Average, Total (Sum), Maximum, Minimum",Network transmitted bytes,,,,,,,,,,,,,,
Microsoft.App/jobs,UsageBytes,Usage Bytes,Bytes,"Total (Sum), Average, Maximum, Minimum",Container App Job memory used in bytes.,,,,,,,,,,,,,,
Microsoft.App/jobs,UsageNanoCores,CPU Usage,NanoCores,"Total (Sum), Average, Maximum, Minimum",CPU consumed by the container app job in nano cores. 1000000000 nano cores = 1 core,,,,,,,,,,,,,,
Microsoft.App/managedEnvironments,IngressUsageBytes,Ingress Memory Usage Bytes (Preview),Bytes,"Total (Sum), Average, Maximum, Minimum",Ingress pods usage memory in bytes. Represents the total memory consumed by a container,,,,,,,,,,,,,,
Microsoft.App/managedEnvironments,IngressUsageNanoCores,Ingress CPU Usage (Preview),NanoCores,"Total (Sum), Average, Maximum, Minimum",CPU consumed by the ingress pods in nano cores. 1000000000 nano cores = 1 core,,,,,,,,,,,,,,
Microsoft.App/managedEnvironments,EnvCoresQuotaLimit,Cores Quota Limit (Deprecated),Count,"Average, Maximum, Minimum",The cores quota limit of managed environment (Deprecated),,,,,,,,,,,,,,
Microsoft.App/managedEnvironments,EnvCoresQuotaUtilization,Percentage Cores Used Out Of Limit (Deprecated),Percent,"Average, Maximum, Minimum",The cores quota utilization of managed environment (Deprecated),,,,,,,,,,,,,,
Microsoft.App/managedEnvironments,NodeCount,Workload Profile Node Count (Preview),Count,"Average, Total (Sum), Maximum, Minimum",The Node Count per workload profile,,,,,,,,,,,,,,
Microsoft.App/sessionpools,PoolExecutingPodCount,Executing Sessions Count,Count,"Total (Sum), Average, Maximum, Minimum",Number of executing session pods in the session pool,,,,,,,,,,,,,,
Microsoft.App/sessionpools,PoolPendingPodCount,Creating Sessions Count,Count,"Total (Sum), Average, Maximum, Minimum",Number of creating session pods in the session pool,,,,,,,,,,,,,,
Microsoft.App/sessionpools,PoolReadyPodCount,Ready Sessions Count,Count,"Total (Sum), Average, Maximum, Minimum",Number of ready session pods in the session pool,,,,,,,,,,,,,,
Microsoft.AppConfiguration/configurationStores,DailyStorageUsage,DailyStorageUsage,Percent,"Minimum, Maximum",Total storage usage of the store in percentage. Updated at minimum every 24 hours.,,,,,,,,,,,,,,
Microsoft.AppConfiguration/configurationStores,HttpIncomingRequestCount,HttpIncomingRequestCount,Count,Total (Sum),Total number of incoming http requests.,,,,,,,,,,,,,,
Microsoft.AppConfiguration/configurationStores,HttpIncomingRequestDuration,HttpIncomingRequestDuration,Milliseconds,Average,Latency on an http request.,,,,,,,,,,,,,,
Microsoft.AppConfiguration/configurationStores,ReplicationLatency,ReplicationLatency,Milliseconds,Average,Latency of replication. Average time it takes for a replica to be consistent with current state.,,,,,,,,,,,,,,
Microsoft.AppConfiguration/configurationStores,RequestQuotaUsage,RequestQuotaUsage,Percent,"Minimum, Maximum",Current total request usage in percentage.,,,,,,,,,,,,,,
Microsoft.AppConfiguration/configurationStores,SnapshotStorageSize,SnapshotStorageSize,Count,"Minimum, Maximum",Total storage usage of key value snapshot(s) in bytes.,,,,,,,,,,,,,,
Microsoft.AppConfiguration/configurationStores,ThrottledHttpRequestCount,ThrottledHttpRequestCount,Count,Total (Sum),Throttled http requests.,,,,,,,,,,,,,,
Microsoft.AppPlatform/spring,AppCpuUsage,App CPU Usage (Deprecated),Percent,"Maximum, Minimum, Average","The recent CPU usage for the app. This metric is being deprecated. Please use App CPU Usage"" with metric id ""PodCpuUsage"".""",,,,,,,,,,,,,,
Microsoft.AppPlatform/spring,PodCpuUsage,App CPU Usage,Percent,"Maximum, Minimum, Average",The recent CPU usage for the app,,,,,,,,,,,,,,
Microsoft.AppPlatform/spring,PodMemoryUsage,App Memory Usage,Percent,"Maximum, Minimum, Average",The recent Memory usage for the app,,,,,,,,,,,,,,
Microsoft.AppPlatform/spring,PodNetworkIn,App Network In,Bytes,"Total (Sum), Maximum, Minimum, Average",Cumulative count of bytes received in the app,,,,,,,,,,,,,,
Microsoft.AppPlatform/spring,PodNetworkOut,App Network Out,Bytes,"Total (Sum), Maximum, Minimum, Average",Cumulative count of bytes sent from the app,,,,,,,,,,,,,,
Microsoft.Automation/automationAccounts,HybridWorkerPing,Hybrid Worker Ping,Count,"Total (Sum), Average, Maximum, Minimum, Count",The number of pings from the hybrid worker,,,,,,,,,,,,,,
Microsoft.Automation/automationAccounts,TotalJob,Total Jobs,Count,"Total (Sum), Average, Maximum, Minimum, Count",The total number of jobs,,,,,,,,,,,,,,
Microsoft.Automation/automationAccounts,TotalUpdateDeploymentMachineRuns,Total Update Deployment Machine Runs,Count,"Total (Sum), Average, Maximum, Minimum, Count",Total software update deployment machine runs in a software update deployment run,,,,,,,,,,,,,,
Microsoft.Automation/automationAccounts,TotalUpdateDeploymentRuns,Total Update Deployment Runs,Count,"Total (Sum), Average, Maximum, Minimum, Count",Total software update deployment runs,,,,,,,,,,,,,,
microsoft.avs/privateClouds,EffectiveCpuAverage,Percentage CPU,Percent,Average,Percentage of Used CPU resources in Cluster,,,,,,,,,,,,,,
microsoft.avs/privateClouds,EffectiveMemAverage,Average Effective Memory,Bytes,Average,Total available amount of machine memory in cluster,,,,,,,,,,,,,,
microsoft.avs/privateClouds,OverheadAverage,Average Memory Overhead,Bytes,Average,Host physical memory consumed by the virtualization infrastructure,,,,,,,,,,,,,,
microsoft.avs/privateClouds,TotalMbAverage,Average Total Memory,Bytes,Average,Total memory in cluster,,,,,,,,,,,,,,
microsoft.avs/privateClouds,UsageAverage,Average Memory Usage,Percent,Average,Memory usage as percentage of total configured or available memory,,,,,,,,,,,,,,
microsoft.azuresphere/catalogs,CatalogCertificateDaysToExpiration,Catalog Certificate Days To Expiration,Count,Minimum,Total number of days remaining for the Catalog Certificate to expire. Alert on this metric to get notified ahead of the certificate expiration date.,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,CoreCount,Dedicated Core Count,Count,Total (Sum),Total number of dedicated cores in the batch account,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,CreatingNodeCount,Creating Node Count,Count,Total (Sum),Number of nodes being created,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,IdleNodeCount,Idle Node Count,Count,Total (Sum),Number of idle nodes,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,JobDeleteCompleteEvent,Job Delete Complete Events,Count,Total (Sum),Total number of jobs that have been successfully deleted.,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,JobDeleteStartEvent,Job Delete Start Events,Count,Total (Sum),Total number of jobs that have been requested to be deleted.,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,JobDisableCompleteEvent,Job Disable Complete Events,Count,Total (Sum),Total number of jobs that have been successfully disabled.,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,JobDisableStartEvent,Job Disable Start Events,Count,Total (Sum),Total number of jobs that have been requested to be disabled.,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,JobStartEvent,Job Start Events,Count,Total (Sum),Total number of jobs that have been successfully started.,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,JobTerminateCompleteEvent,Job Terminate Complete Events,Count,Total (Sum),Total number of jobs that have been successfully terminated.,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,JobTerminateStartEvent,Job Terminate Start Events,Count,Total (Sum),Total number of jobs that have been requested to be terminated.,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,LeavingPoolNodeCount,Leaving Pool Node Count,Count,Total (Sum),Number of nodes leaving the Pool,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,LowPriorityCoreCount,LowPriority Core Count,Count,Total (Sum),Total number of low-priority cores in the batch account,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,OfflineNodeCount,Offline Node Count,Count,Total (Sum),Number of offline nodes,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,PoolCreateEvent,Pool Create Events,Count,Total (Sum),Total number of pools that have been created,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,PoolDeleteCompleteEvent,Pool Delete Complete Events,Count,Total (Sum),Total number of pool deletes that have completed,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,PoolDeleteStartEvent,Pool Delete Start Events,Count,Total (Sum),Total number of pool deletes that have started,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,PoolResizeCompleteEvent,Pool Resize Complete Events,Count,Total (Sum),Total number of pool resizes that have completed,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,PoolResizeStartEvent,Pool Resize Start Events,Count,Total (Sum),Total number of pool resizes that have started,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,PreemptedNodeCount,Preempted Node Count,Count,Total (Sum),Number of preempted nodes,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,RebootingNodeCount,Rebooting Node Count,Count,Total (Sum),Number of rebooting nodes,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,ReimagingNodeCount,Reimaging Node Count,Count,Total (Sum),Number of reimaging nodes,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,RunningNodeCount,Running Node Count,Count,Total (Sum),Number of running nodes,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,StartingNodeCount,Starting Node Count,Count,Total (Sum),Number of nodes starting,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,StartTaskFailedNodeCount,Start Task Failed Node Count,Count,Total (Sum),Number of nodes where the Start Task has failed,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,TaskCompleteEvent,Task Complete Events,Count,Total (Sum),Total number of tasks that have completed,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,TaskFailEvent,Task Fail Events,Count,Total (Sum),Total number of tasks that have completed in a failed state,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,TaskStartEvent,Task Start Events,Count,Total (Sum),Total number of tasks that have started,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,TotalLowPriorityNodeCount,Low-Priority Node Count,Count,Total (Sum),Total number of low-priority nodes in the batch account,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,TotalNodeCount,Dedicated Node Count,Count,Total (Sum),Total number of dedicated nodes in the batch account,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,UnusableNodeCount,Unusable Node Count,Count,Total (Sum),Number of unusable nodes,,,,,,,,,,,,,,
Microsoft.Batch/batchaccounts,WaitingForStartTaskNodeCount,Waiting For Start Task Node Count,Count,Total (Sum),Number of nodes waiting for the Start Task to complete,,,,,,,,,,,,,,
microsoft.botservice/botservices,RequestLatency,Request Latency,Milliseconds,Total (Sum),Time taken by the server to process the request,,,,,,,,,,,,,,
Microsoft.Cache/redis,allcachehits,Cache Hits (Instance Based),Count,Total (Sum),"The number of successful key lookups. For more details see https://aka.ms/redis/metrics.""",,,,,,,,,,,,,,
Microsoft.Cache/redis,allcachemisses,Cache Misses (Instance Based),Count,Total (Sum),"The number of failed key lookups. For more details see https://aka.ms/redis/metrics.""",,,,,,,,,,,,,,
Microsoft.Cache/redis,allcacheRead,Cache Read (Instance Based),BytesPerSecond,Maximum,"The amount of data read from the cache in bytes per second. For more details see https://aka.ms/redis/metrics.""",,,,,,,,,,,,,,
